Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Case mean,Case std,Case median,Case IQR,Cases,Case list
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,8.06841e-09,2.26594e-09,2.93489e-09,8.62265e-10,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,12.9149,4.18804,9.57745,3.0683,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_decrease_fraction,Newton residual decrease,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_ratio,Newton residual ratio,7.93871e-10,1.62883e-10,3.62627e-10,2.44483e-10,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.99571,0.00133151,0.997089,0.000386,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_residual_relative_rms,FEM residual rel RMS,13.7409,4.37117,10.3148,3.37001,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,112.278,68.9027,84.9027,67.3853,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,qp_history_increment_relative_l2,QP history-inc rel L2,2.44076,0.256678,2.54352,0.32171,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,monotonic,qp_history_relative_l2,QP history rel L2,1.82245,0.0661934,1.98297,0.13557,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,displacement_relative_l2,rollout disp rel L2,96.8019,60.8927,75.7112,59.4217,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_energy_relative_error,FEM energy rel err,33.2547,22.7775,16.5343,18.3999,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_accepted_damping,Newton accepted damping,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_convergence_rate,Newton convergence rate,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_correction_relative_norm,Newton correction rel norm,1.1919,0.259048,0.900607,0.184498,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_failure_rate,Newton failure rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,6.49449e-09,1.80041e-09,2.13502e-09,6.68805e-10,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,10.4711,3.56692,7.71158,3.01759,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_residual_decrease_fraction,Newton residual decrease,1,0,1,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_residual_ratio,Newton residual ratio,7.94424e-10,1.6024e-10,3.63025e-10,2.46766e-10,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.995722,0.00132254,0.997171,0.0003765,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
